曲名,アーティスト,収録日,必要キー数
Perverse Love Rock!,中沢伴行 (I've) feat. IA,先行配信2016/09/01通常配信2016/10/05,2
ネトゲ廃人シュプレヒコール,さつき が てんこもり feat. 初音ミク,先行配信2016/10/20通常配信2017/01/12,5
深海シティアンダーグラウンド,田中B feat. 鏡音リン,先行配信2017/04/13通常配信2017/07/21,2
あのね…実はわたし、夢眠ねむなんだ…,夢眠ネム,先行配信2017/06/12通常配信2017/09/07,5
月夜ノ森,ぼのりす feat. 初音ミク,先行配信2017/07/12通常配信2017/10/27,3
ビットチューン,out of service feat. IA,先行配信2018/01/18通常配信2018/07/02,2
Miraculous Encounter,インターネット社 feat. GUMI,先行配信2018/02/21通常配信2018/07/02,2
人生リセットボタン,kemu feat. GUMI,2018/07/02,8
ボロボロだ,n-buna feat. 初音ミク,先行配信2018/06/06通常配信2018/08/23,10
D+D→T+p,Minstrel feat. LIQU@。,2015/09/07,5
カミノヒ,COSIO(ZUNTATA) × ランコ(豚乙女),先行配信2016/05/30通常配信2016/08/12,5
"Help me, ERINNNNNN!! -Cranky remix-",ビートまりお × Cranky,先行配信2016/07/29通常配信2016/09/28,5
Dream Coaster,A-One,先行配信2016/12/01通常配信2017/02/27,3
コノハズク,豚乙女,先行配信2017/05/01通常配信2017/08/09,10
DIVINE PLACE,TatshMusicCircle,先行配信2017/08/09通常配信2017/11/08,10
東方輝仁裂,MASAKI,先行配信2017/11/08通常配信2018/03/20,30
秘神マターラ-HYPER TECHNO MIX-,Yu Shimoda(ZUNTATA),2018/07/25,15
揺蕩うLove (feat. らっぷびと),魂音泉,先行配信2018/05/01通常配信2018/08/02,10
Say Around,A-One,2018/10/10,10
2112410403927243233368,253215,先行配信2015/04/01通常配信2015/06/02,25
ピアノ・ソナタ「月光」第三楽章,ICON,2018/07/18,9
EZ Mode,Akira Complex,2018/10/17,15
UP & DOWN,KO3,2018/10/24,15
Never Stop (GC Mix),Relect,2018/11/21,15
Fun-House,COSIO (ZUNTATA),2016/03/10,5
Cardiac Rhythm,COSIO,2015/03/25,5
Flyaway,櫻井浩司,2016/03/10,5
メシアの邂逅,Tatsh,2015/04/22,15
Got noir forever.,E.G.G.,2015/02/25,25
orbital,namae.,2016/03/10,5
Got hive of Ra,E.G.G.,先行配信2016/09/28通常配信2016/12/14,25
Got recover run,E.G.G.,先行配信2017/12/14通常配信2018/04/16,25
Warrior,Cranky,先行配信2017/02/20通常配信2017/05/22,15
TECHNO COMPLEX,DJ MURASAME a.k.a. Tatsh,先行配信2017/03/16通常配信2017/06/19,10
"Good Night, Bad Luck.",t+pazolite,先行配信2017/06/26通常配信2017/09/22,30
Got more raves? -xiRemix-,xi,先行配信2018/03/29通常配信2018/07/02,25
MOVING FASTER FT. LINDSEY MARIE,Daniel Seven,2018/07/11,15
Crimson Phoenix,xi vs MASAKI,先行配信2018/03/29通常配信2018/08/02,15
HAPPY! LUCKY! FUTURE WORLD!,EmoCo.,2018/08/16,15
Cosmic Express,Snail's House,2018/08/30,15
Xand-Roid,Tatsh,2018/09/14,20
Pegasus,NaMiRa,2018/11/21,15
Little Higher,nora2r,2018/12/05,15
Got sorted view.,E.G.G.,2019/03/13,25
Lemegeton -little key of solomon-,Team Grimoire vs MASAKI,2019/03/28,30
希,technoplanet feat. Shun [RIGEL],2021/12/01,15
Valkyrja Requiem,iTIC,2021/12/08,15
コスモスタート,打打だいず,2021/12/15,15
